County_County,richard_nixon_republican_num,richard_nixon_republican_pct,george_wallace_american_independent_num,george_wallace_american_independent_pct,hubert_humphrey_democratic_num,hubert_humphrey_democratic_pct,margin_num,margin_pct,total_votes_cast_total_votes_cast,Rank,FIPS
"Abbeville County, South Carolina",1213,20.77%,3201,54.82%,1425,24.40%,"-1,776[b]",-30.42%,5839,ID,45001
"Aiken County, South Carolina",12264,44.76%,8815,32.17%,6319,23.06%,3449,12.59%,27398,RI,45003
"Allendale County, South Carolina",997,29.72%,820,24.44%,1538,45.84%,-541[c],-16.12%,3355,DR,45005
"Anderson County, South Carolina",5661,24.33%,12384,53.23%,5218,22.43%,-6723,-28.90%,23263,IR,45007
"Bamberg County, South Carolina",1327,27.70%,1618,33.78%,1845,38.52%,227[b],4.74%,4790,DI,45009
"Barnwell County, South Carolina",1849,31.25%,2351,39.74%,1716,29.01%,-502,-8.49%,5916,IR,45011
"Beaufort County, South Carolina",2983,36.29%,1498,18.22%,3740,45.49%,-757[c],-9.20%,8221,DR,45013
"Berkeley County, South Carolina",4021,28.89%,4808,34.55%,5089,36.56%,281[b],2.01%,13918,DI,45015
"Calhoun County, South Carolina",885,28.74%,978,31.76%,1216,39.49%,238[b],7.73%,3079,DI,45017
"Charleston County, South Carolina",24282,43.45%,13255,23.72%,18343,32.83%,"5,939[c]",10.62%,55880,RD,45019
"Cherokee County, South Carolina",2853,27.19%,5642,53.77%,1998,19.04%,-2789,-26.58%,10493,IR,45021
"Chester County, South Carolina",2862,33.71%,2762,32.54%,2865,33.75%,-3[c],-0.04%,8489,DR,45023
"Chesterfield County, South Carolina",2564,25.47%,4324,42.95%,3180,31.59%,"-1,144[b]",-11.36%,10068,ID,45025
"Clarendon County, South Carolina",2201,27.85%,2097,26.53%,3606,45.62%,"-1,405[c]",-17.77%,7904,DR,45027
"Colleton County, South Carolina",2824,34.67%,2670,32.78%,2651,32.55%,154,1.89%,8145,RI,45029
"Darlington County, South Carolina",4947,35.38%,5231,37.42%,3803,27.20%,-284,-2.04%,13981,IR,45031
"Dillon County, South Carolina",2396,35.73%,2132,31.79%,2178,32.48%,218[c],3.25%,6706,RD,45033
"Dorchester County, South Carolina",3354,31.21%,3539,32.93%,3855,35.87%,316[b],2.94%,10748,DI,45035
"Edgefield County, South Carolina",1688,43.07%,1006,25.67%,1225,31.26%,463[c],11.81%,3919,RD,45037
"Fairfield County, South Carolina",1619,27.14%,1336,22.39%,3011,50.47%,"-1,392[c]",-23.33%,5966,DR,45039
"Florence County, South Carolina",8917,36.19%,7642,31.02%,8079,32.79%,838[c],3.40%,24638,RD,45041
"Georgetown County, South Carolina",3269,32.62%,2642,26.36%,4110,41.01%,-841[c],-8.39%,10021,DR,45043
"Greenville County, South Carolina",31652,52.91%,15241,25.48%,12928,21.61%,16411,27.43%,59821,RI,45045
"Greenwood County, South Carolina",4891,33.37%,6024,41.10%,3741,25.52%,-1133,-7.73%,"14,658[d]",IR,45047
"Hampton County, South Carolina",1671,31.95%,1452,27.76%,2107,40.29%,-436[c],-8.34%,5230,DR,45049
"Horry County, South Carolina",3924,26.97%,6701,46.06%,3924,26.97%,-2777,-19.09%,14549,IR,45051
"Jasper County, South Carolina",633,20.31%,1081,34.69%,1402,44.99%,321[b],10.30%,3116,DI,45053
"Kershaw County, South Carolina",4079,38.56%,3960,37.44%,2539,24.00%,119,1.12%,10578,RI,45055
"Lancaster County, South Carolina",4874,37.75%,4886,37.84%,3151,24.41%,-12,-0.09%,12911,IR,45057
"Laurens County, South Carolina",4813,39.75%,4279,35.34%,3016,24.91%,534,4.41%,12108,RI,45059
"Lee County, South Carolina",1219,22.23%,2113,38.54%,2151,39.23%,38[b],0.69%,5483,DI,45061
"Lexington County, South Carolina",12204,48.49%,8907,35.39%,4058,16.12%,3297,13.10%,25169,RI,45063
"Marion County, South Carolina",2512,36.85%,1484,21.77%,2821,41.38%,-309[c],-4.53%,6817,DR,45067
"Marlboro County, South Carolina",2024,31.34%,2140,33.14%,2294,35.52%,154[b],2.38%,6458,DI,45069
"McCormick County, South Carolina",466,21.08%,757,34.24%,988,44.69%,231[b],10.45%,2211,DI,45065
"Newberry County, South Carolina",4538,42.35%,3734,34.85%,2444,22.81%,804,7.50%,10716,RI,45071
"Oconee County, South Carolina",2618,27.94%,4742,50.61%,2009,21.44%,-2124,-22.67%,9369,IR,45073
"Orangeburg County, South Carolina",5144,24.20%,7144,33.60%,8971,42.20%,"1,827[b]",8.60%,21259,DI,45075
"Pickens County, South Carolina",6873,51.63%,4424,33.23%,2016,15.14%,2449,18.40%,13313,RI,45077
"Richland County, South Carolina",26215,50.96%,7030,13.67%,18198,35.37%,"8,017[c]",15.59%,"51,445[d]",RD,45079
"Saluda County, South Carolina",1466,30.53%,2136,44.48%,1200,24.99%,-670,-13.95%,4802,IR,45081
"Spartanburg County, South Carolina",18183,38.69%,17346,36.91%,11467,24.40%,837,1.78%,46996,RI,45083
"Sumter County, South Carolina",5451,33.43%,4754,29.15%,6103,37.42%,-652[c],-3.99%,16308,DR,45085
"Union County, South Carolina",3011,30.50%,4590,46.50%,2271,23.00%,-1579,-16.00%,9872,IR,45087
"Williamsburg County, South Carolina",3029,28.08%,2652,24.59%,5106,47.33%,"-2,077[c]",-19.25%,10787,DR,45089
"York County, South Carolina",7596,37.48%,7102,35.04%,5571,27.49%,494,2.44%,20269,RI,45091
"Totals County, South Carolina",254062,38.09%,215430,32.30%,197486,29.61%,38632,5.79%,666982,RI,00nan
